昔比 黄花 笑 易安|今歌 白纻 一生 酸|玉台 朝蕣 何由 写|兀坐 凝思 任墨 干
杨子 风流 继 昔贤|兰心 开处 笔 能传|遂令 一派 孤 清气|飞作 人间 五色 烟
绿蓑 正稳 玄真 子|绛帐 先推 古建 州|珍重 庙廊 须 远略|勋阶 兼为 故人 酬
清昼 人间 更觉 长|坐来 春思 正 茫茫|和风 送暖 冲 炎塞|芳草 连天 到 朔方
瓜果 谁新 饷|馋涎 小忍 休|金盆 井花 水|且看 玉 双浮
大别 山前 晚|维舟 望古 津|孤烟 汉川 树|长笛 武昌 人
空劳 国色 更 针神|雨露 恩移 别院 新|记取 蒲生 塘上 曲|九泉 差胜 姓甄 人
豪华 虽 足羡|离别 却 难堪|博得 虚名 在|谁人 识 苦甘
干戈 况复 尘随 眼|鬓发 还应 雪满 头|玉垒 题书 心绪 乱|何时 更得 曲江 游
诗得 幽奇 句|琴多 雅淡 声|居民 陶 美化|应此 放 高情
一夜 茅檐 雨|晨兴 乃尔 凉|禽鱼 皆 遂性|草木 自 吹香
恭陈 服御 俨 凭依|拜奠 菁茅 凛 不违|四十 年余 恩 浃髓|一千 日里 涕 沾衣
儿音 半已 渐 秦晋|乡信 无因 接 鲁洙|三见 秋风 落 庭树|年年 归意 负 莼鲈
落木 深 秋节|贫家 雨又 风|旧衣 春 典尽|新榖 日 支空
暗雪 迷 征路|寒云 隐 戍楼|唯馀 旌旆 影|相逐 去 悠悠
蝉试 迎 秋噪|庭分 欲 暮烟|是间 宜 野酌|何必 肆 长筵
阮籍 谋身 拙|嵇康 向事 慵|生涯 别有 处|浩气 在 心胸
嗟予 潦倒 无 归日|今汝 蹉跎 已 半生|免使 韩公 悲 世事|白头 还对 短 灯檠
夜久 松声 起|飕飗 满 泬寥|天风 吹 一半|散作 海 门潮
携樽 纵步 寻芳 墅|聊藉 芊芊 手把 红|行乐 岂关 闲客 事|少侯 长日 占 春风
微风 病叶 先投 地|斜日 寒烟 半在 门|诗景 满庭 人 独倚|飞鸿 送尽 水 南村
吟兴 不惟 夸美 景|行人 当为 破愁 容|前村 有酒 青帘 远|强饮 岩间 水 一钟
再顾 沟中 物|尤惭 席上 珍|异时 调鼎 鼐|应许 与 陶钧
峭壁 引 行径|截溪 开 石门|泉飞 溅 虚槛|云起 涨 河轩
垒曲 成台 糟筑 丘|衰迟 无复 少年 游|君看 烟草 离离 外|不问 人间 第 一流
夹衣 新著 倦 琴书|散策 池塘 返照 初|翠碧 黄鹂 相续 去|荇丝 深处 见 游鱼
海内 寥寥 几 弟兄|东山 何日 慰 苍生|避人 自诧 衡门 乐|清世 宁容 谷口 耕
行彻 凌江 到 曲江|史君 才业 世 无双|前人 俗政 应 除尽|盛赋 新诗 倒 玉缸
闲坐 独 无寐|雁来 更 未阑|声长 河汉 迥|影落 户庭 寒
但使 荒田 辟|无劳 铸铁 增|素书 宁敢 寄|苦语 未宜 憎
落日 下 乔木|好风 来暮 船|径思 投辖 饮|复作 对床 眠
客中 又过 二分 春|闻道 千红 百紫 新|雨到 庭隅 长 芳草|日窥 窗隙 弄 游尘
红尘 迥隔 蓬莱 晓|匹练 空明 河汉 悬|不向 鹿门 期 九转|褰衣 到此 悟真 禅
茏葱 二月 初|青软 自相 纡|意态 花 犹少|风流 木 更无
楚客 登临 悲 素秋|感时 风物 自 飕飕|潦收 远水 清 堪鉴|雨过 群山 翠 欲浮
罗浮 山下 白云 深|一枕 师雄 梦 未成|残雪 初消 明月 上|东风 吹彻 玉箫 声
青旗 斜倚 耕 坛雾|膏壤 遥迎 御耦 春|二步 不应 踰 旧礼|天心 自欲 劝 蒸民
白云 明月 满 征鞍|天籁 寥寥 瀑布 寒|读尽 君诗 三百 首|万山 瓯括 马前 看
不向 阮家 林下 集|还思 渭北 水边 窥|一花 一草 公休 咏|惯作 兰台 侍从 诗
为家 随地 好|主客 一身 专|灯火 思 儿日|风霜 感 暮年
犹使 樽前 客|常怀 没后 名|好风 吹 远籁|如有 笑 歌声
如流 岁月 几 沾襟|侍立 霜严 剧 苦心|说与 刘璋 无怨 怒|有人 驱虎 入山 林
雷雨 交虽 始|玄黄 战未 形|白头 馀 一女|不字 守天 经
山寺 苍茫 夕照 昏|通幽 径掩 古 苔痕|草民 贫病 惟求 佛|天远 应难 沐党 恩
满眼 残红 正 乱飞|端如 棹入 武林 时|此身 也是 鹪鹩 样|乞与 桃林 借 一枝
阛阓 开 三市|旗亭 起 百寻|渐离 初 击筑|司马 正 弹琴
移来 建业 尚 如此|徙在 江陵 无 复兹|此说 流传 真 诞妄|便当 不信 不须 疑
言心 俱 好静|廨署 落晖 空|归吏 封 宵钥|行蛇 入 古桐
决策 平胡 虏|捐生 报国 恩|犹惭 汉 公主|万里 嫁 乌孙
寥寥 人境 外|闲坐 爱 晴晖|谷转 猿声 迥|林幽 鸟影 稀
果然 平地 起 风波|一旦 疑生 事事 讹|自有 庐山 真 面目|也愁 云雾 外 来多
旧曲 杳闻 空际 悬|蕉窗 绿滴 到眉 边|榴花 疏雨 深深 巷|一伞 红摇 似 去年
欲过 每愁 风 荡漾|半开 却要 雨 霏微|良辰 乐事 真当 勉|莫遣 匆匆 一片 飞
使节 来何 远|王师 战不 还|殊方 悲 往事|空望 旧 云山
寓目 魂将 断|经年 梦亦 非|那堪 向愁 夕|萧飒 暮蝉 辉
本无 尘 土气|自在 水云 乡|楚楚 净如 拭|亭亭 生 妙香
积善 长 馀庆|天家 亿万 年|维城 开 旧府|閟殿 仰 遗悬
身居 简册 三冬 学|心入 沧溟 万里 游|髣髴 重阳 正 明日|与君 携酒 豫 登楼
禅语 关诗 趣|寒阴 出酒 功|人家 社日 近|翠饵 捣香 蓬
已见 山 无盗|欣同 岁 有秋|时容 一 啸咏|窃比 晋 名流
同人 久 别离|消息 不曾 知|心似 长堤 柳|千丝 又 万丝
旧山 怀 北固|新泪 滴 西河|世路 已 如此|空为 劳者 歌
无庸 下考 又 三书|知愧 知惭 意少 舒|傥便 盍簪 叨 墨绶|纵然 休仕 亦 绯鱼
见说 湖山 胜|亭虚 客 未归|空怀 放鹤 处|尚想 钓鱼 矶
旋摘 甘瓜 青 带蔓|新篘 玉醴 冷 传杯|亦知 野外 无 供给|且复 相逢 笑口 开
华颠 相顾 最 相亲|同是 三朝 二府 人|曾忝 政堂 陪 大论|又叨 枢筦 继 清尘
远色 岳阳 楼|湘帆 数片 愁|竹风 山上 路|沙月 水中 洲
緑绮 初调 曲 未残|幽情 应叹 赏音 难|不嫌 儿女 声相 昵|一鹤 长鸣 绕 画阑
老病 因 儿女|艰难 托 舅甥|不须 悲 物化|曾共 学 无生
劳歌 江上 采 江蓠|一日 愁添 鬓 几丝|借问 客心 何处 折|渡头 灯火 落帆 时
北客 悲 秋色|田园 忆 去来|披衣 朝 易水|匹马 夕 燕台
江上 微风 渐似 秋|荷衣 初曳 木兰 舟|云光 乍送 千家 雨|海气 时披 五月 裘
才教 有伴 维 风气|肯信 无君 脱 俗流|待列 古今 经 史籍|文人 藉尔 证 千秋
五云 缥缈 龙 初驾|百兽 蹁跹 凤 独蹲|谁谓 史狐 操 衮钺|书麟 纪蜮 托 空言
方方 地坼 难降 蛰|藉藉 冰层 更作 堆|天意 可能 回 麦候|九城 枯尽 蓫 牛蘈
蒙吏 浮樽 瓠|江都 著 玉杯|虽非 今日 事|亦使 老怀 开
岁暮 山林 瘦|天高 雨露 偏|惟应 丈夫 志|未受 故人 怜
揽辔 驰 原隰|行行 四牡 骄|风烟 方 入眼|雷雨 忽 连宵
雅量 包荒 万象 涵|口碑 自昔 播 东南|志同 范老 忧勤 见|名比 温公 妇孺 谙
官曹 拘束 久|出郭 便 忘归|江阔 风烟 澹|山稠 草木 稀
竹房 留客 惯|花径 弄孙 频|自有 幽栖 处|喧嚣 颇厌 人
珑璁 伸 粉节|偃蹇 郁 虬枝|敢谓 桃 兼李|羞邻 雪后 姿
两朝 出入 有 辉光|五夜 疏钟 漏 未央|万树 宫花 歌 宝扇|千门 御柳 映 明珰
断简 承 孤学|穷阎 负 壮心|方忧 一齿 落|何止 二毛 侵
已使 列城 歌 既醉|可无 众口 赋 崧高|油幢 谁道 容 温席|行从 君王 宴 碧桃
高旌 天外 驻|寒角 月中 吹|归到 长安 第|花应 再 满枝
绝代 萧 夫子|十年 羁 岭东|牢愁 满 沧海|文字 困 英雄
山色 已含 暝|叶声 新 报秋|廿年 尘土 客|吟眺 不胜 愁
玉舄 双飞 大海 晴|河梁 斜日 断云 平|凉秋 试蹑 青莲 蹻|一问 黄冠 到 四明
棋边 正要 看新 著|酒畔 何妨 话旧 游|了却 经营 宛洛 事|入登 枢筦 赞 帷筹
断琴 支 醉石|寒帽 掷 吟床|八十 身犹 健|元无 服食 方
共是 悲秋 客|停云 滞 异乡|雁书 来 杳杳|花信 去 堂堂
一木 可能 支 大厦|千金 无计 赎 孤儿|翠华 黄屋 空 尘迹|绿水 青山 似 旧时
瓶空 无 贮粟|松菊 在 名园|秫酒 浇 时变|乌巾 到 老存
悼亡 又是 十年 馀|男已 成婚 女 已归|翻觉 而今 悲 更切|客中 穿尽 旧 缝衣
嫩凉 生 枕簟|爽气 入 梧楸|喜得 平安 报|天如 为我 谋
唤渡 三江 岸|停车 两 眼明|烟涵 秋日 澹|露洗 晓寒 轻
壁上 难寻 摩诘 影|溪前 犹作 杜鹃 声|遗编 愁对 秋江 晚|荒冢 离离 吊 月明
石麟 阙耳 笋 生苔|要读 丰碑 与 客来|精舍 荒凉 僧 已出|瓦墙 一朵 佛桑 开
岁寒 冰雪 里|独见 一枝 来|不比 凡 桃李|春风 无数 开
云樯 风柂 舣 江湄|客寄 何心 听 是非|国课 转亏 商旅 瘠|县官 频易 吏胥 肥
闻公 多病 正缘 诗|酷似 梅花 太瘦 时|故忆 主人 鸥去 近|尚留 宾客 鹤归 迟
才大 终难 住|东浮 景渐 暄|知将 刖 足恨|去击 李 膺门
一夜 霜风 吃紧 吹|晓惊 飞鸟 蹴 花枝|谁知 窗外 纷纷 意|正是 山阴 雪 下时
以幻 能除 幻|居尘 不染 尘|略于 歌舞 地|聊现 宰官 身
青衫 触熟 并 西州|没马 黄尘 接地 流|庾亮 南楼 应有 待|薛宣 东阁 可能 留
已报 新移 郡|犹闻 不下 堂|买舟 辞 快阁|度岭 问 韶阳
冈凸 沙旋 走|田凹 水聚 流|友人 云树 隔|怅望 意 悠悠
休为 建隼 临 淝守|转作 垂丝 入洛 人|罢阅 旧林 三 载籍|又开 新历 四 年春
帝德 乾坤 大|天聪 日月 光|边防 须至 计|社稷 倚 安疆
今年 有酒 公 须醉|明日 无襦 子 莫嗔|香案 已催 朝 玉帝|何如 剪纸 奏 钱神
不令 辛苦 登 螺岭|再挹 泓渟 嗽凤 泉|客鬓 自怜 尘土 满|岭松 崖竹 饱 风烟
茅衡 几架 隔 遥岑|万壑 岚光 结 昼阴|欲抱 瑶琴 访 清隐|寒林 无路 白云 深
解缆 听 潮落|张帆 趁 晓开|相思 南浦 上|明月 满 苏台
南郡 连 烽火|连皋 掩素 扉|犹闻 避地 去|不见 渡江 归
雍容 可羡 云中 雁|浩荡 来随 水面 萍|富贵 功名 皆 外物|艰难 险阻 亦须 经
染亦 因 风力|光疑 入 镜魔|无心 信 芳洁|寥落 夜 如何
已过 长亭 一舍 宽|送行 犹自 挽 征鞍|我无 惠政 苏 凋瘵|何事 邦人 泪 不干
诏自 旬宣 须 柱石|政从 宽厚 识 心田|新云 弄雨 难为 别|共对 清樽 思 渺然
洛阳 迢递 路 间关|瞻顾 园陵 岂再 还|飞去 不知 何处 乐|一时 流涕 纥干 山
阴阴 江树 绿如 帷|春尽 天涯 送客 归|芳草 独迷 蝴蝶 梦|落花 先遣 伯劳 飞
剩数 连珠 夸 瑞应|会看 仙桂 满 枝芳|春风 得意 归来 好|衣锦 联镳 入 故乡
卢橘 花开 梓 树疏|故人 安稳 在 楼居|翠眉 狎坐 春 行酒|绛帐 悬灯 夜 读书
微醺 有意 随 风舞|独立 无言 任 雨荒|唤作 桃红 元 未称|桃花 那解 傲 秋霜
花插 高堂 喜|莺歌 稚子 娱|但令 忧患 少|闭户 即 黄虞
菜甲 方 齐拆|梅花 亦 半开|茅檐 鸣 好鸟|节物 莫 相催
凄凉 野浦 寒 飞雁|牢落 汀祠 晚 聚鸦|无限 清忠 沉 浪底|滔滔 千顷 属 渔家
已是 春移 律|何时 酒泛 杯|好花 那忍 落|直待 使君 来
眼前 公事 何时 了|月下 清樽 且复 倾|想得 新栽 池上 柳|送君 归棹 亦 多情
搏虎 恐贻 冯妇 笑|割鸡 应惹 武城 讥|浮家 幸有 苕溪 在|为趁 斜风 细雨 归
一震 雷惊 众籁 号|沉沉 地底 涌 波涛|累人 日夜 忧天 坠|颇怨 灵鳌 戴 末牢
雪压 狐裘 醉 玉京|夜闻 歌吹 到 天明|寒窗 病起 今 头白|始听 春蚕 食 叶声
随意 上 渔舟|幽寻 不 预谋|清溪 欣 始泛|野寺 忆 前游
窈窕 沧波 寺|玲珑 水上 扉|绿窗 云 竹净|朱户 露 花晞
客泪 惊 秋老|哀虫 絮 夜阑|柝声 常 不寐|未许 旅魂 安
是非 如梦 归 前世|生死 经秋 换 两朝|垂老 菊花 当 进酒|去年 焉识 有 今朝
稚子 捐 深爱|酸辛 痛 莫支|坐愁 侵 骨髓|行乐 负 心期
泉来 从 绝壑|亭敞 在 中流|竹密 无 空岸|松长 可 绊舟
自挂 衣冠 神武 门|依然 恋阙 赤心 存|清高 寄兴 太 湖石|盘礴 行吟 独 乐园
唳鹤 一声 来远 皋|羇人 争不 梦魂 劳|已怜 束缚 非 吾志|安得 驰驱 更 尔曹
受冻 皴颜 如 著酒|冲寒 禁口 若 衔枚|归时 未暇 行装 卸|自拨 红炉 暖 绿醅
沙涨 中洲 阔|潮冲 古路 偏|莫疑 陵谷 事|即目 是 桑田
杜陵 野客 恋 京华|日典 春衣 醉 酒家|徒步 归来 情 寂寞|一年 空负 隔城 花
海上 仙山 接 混茫|仙居 远在 白云 乡|楼当 太乙 星辰 近|树拂 勾陈 雨露 香
俊鸟 还投 高处 栖|腾身 戛戛 下 云梯|有时 透雾 凌空 去|无事 随风 入草 迷
第一 逢春 管 物华|率先 桃李 被 褒嘉|明朝 又数 日为 狗|回首 犹惊 岁在 蛇
老僧 八十 无 童子|礼佛 看经 总 不能|双手 丫叉 出 迎客|自称 六十 六年 僧
地湿 遥连 楚|山高 半入 秦|明朝 南郡 去|先访 卧龙 人
忆昔 永嘉 际|中原 板荡 年|衣冠 坠 涂炭|舆辂 染 腥膻
逆旅 逢 佳节|征帆 未可 前|雪华 添 旧鬓|岁历 检 新编
寒劲 无遗 暖|晴行 失 老怀|叶飞 枫 骨立|萍尽 沼 奁开
词欲 谗 风伯|书将 诘 乱龙|关西 兵 税急|惧失 万馀 钟
浮云 世外 有何 求|流水 清山 念念 幽|望里 渔舟 横 柳岸|几回 心事 落 沧洲
都门 遥奉 白头 归|四叶 承欢 世 所希|诗礼 庭前 时 独对|鹡鸰 原上 更 双飞
鹭临 池立 窥 鱼笱|隼傍 林飞 拂 雀罗|赖有 杯中 神圣 物|百忧 无奈 十分 何
栖托 难 高卧|行藏 且 岁时|从来 燕客 放|不怪 楚人 疑
西北 朝 天路|登临 思 上才|城闲 烟草 遍|村暗 雨云 回
晴日 午犹 淡|闲园 足 媚春|鸳夸 娇 影净|蛛放 喜 丝频
龙飞 六宇 汉 江清|王会 千年 叶 颂声|漫说 大风 恩 猛士|即看 霖雨 慰 苍生
匡衡 抗疏 功名 薄|刘向 传经 心事 违|同学 少年 多不 贱|五陵 衣马 自 轻肥
前春 伤 一别|溅泪 背花 吟|此夕 幸相 见|开樽 邀月 斟
壶中 有景 知诚 少|堂下 无喧 到始 频|我亦 治园 同 众乐|夹河 相望 称 为邻
儿童 弄水 红衣 薄|楼观 迎秋 碧瓦 高|欲访 尧夫 游憩 处|西风 吹鬓 晚 颾颾
三宥 恩施 大|群生 感被 均|哀矜 心 勿喜|欲使 众情 伸
归马 有知 元 识路|来鸿 无信 动 经秋|燕台 又拟 相逢 日|共说 长安 古帝 州
朱游 英气 凛 生风|濒死 危言 悟 帝聪|殿槛 不修 旌 直谏|安昌 依旧 汉 三公
斜阳 已在 古松 闲|杯酒 相留 未 放还|此是 古人 真率 处|谁知 今日 有 梅山
车响 乍通 雷 隐隐|帘痕 斜劈 月 条条|巫山 更在 蓬山 顶|云气 才容 到 半腰
太乐 尚容 求 作令|高阳 宁得 少 吾徒|衡阳 南望 相将 去|好待 秋风 出五 潴
夗湖 山水 称 侨居|山可 登临 水可 渔|故旧 追随 频 有梦|相门 干谒 独 无书
归云 笼 岛树|远火 黯 渔船|回首 中华 路|几疑 傍 斗边
鹿门 真 大隐|不减 远人 村|净供 维摩 室|邻居 祗树 园
天寒 香 更发|花定 不知 寒|多谢 风兼 雪|吹花 透 肺肝
严城 禁苑 漏传 稀|戚里 侯家 启夜 扉|花里 歌声 惊 宿鸟|池边 水气 怯 春衣
丙夜 清眠 正 熟时|梦魂 飞去 拜 丹墀|小臣 乍得 披 肝胆|感慨 分明 涕泪 垂
候馆 谁 牵马|行厨 祗 食鱼|异花 惊 绝域|修竹 忆 吾庐
渐减 家人 病|徐添 夜气 凉|凭谁 理 荒秽|篱落 菊苗 长
昨日 繁华 焕 眼新|今朝 瞥眼 又成 陈|深关 羊户 无 来客|漫藉 周亭 有 醉人
回野 苍茫 合|严风 浩荡 来|归耕 如 有地|劳苦 曷为 哉
尚想 飞仙 游 白鹤|偶于 怀袖 落 青蛇|玉皇 香案 真如 此|我欲 晨奔 到广 霞
宴坐 消 尘虑|遐观 恣 赏心|群贤 思 历下|吟啸 属 芳音
幽寂 雨华 寺|禅宗 众所 归|云生 游客 屐|花落 讲僧 衣
莲社 飘零 后|过逢 转自 欢|幽期 犹及 菊|心赏 惬如 兰
古佛 临流 都 坐断|行人 识路 亦 归休|酣酣 午枕 眠 方丈|一笑 闲身 始 自由
兴馀 思 秉烛|坐久 欲 添衣|为爱 东 岩下|泉声 通 翠微
筑甬 馀 三百|湾环 护漕 沟|重桥 穿 宝应|一岸 入 高邮
江驿 倾攲 留 月伴|雪山 凝冱 带 春来|樗翁 忘了 桂 花白|误道 柴桑 不咏 梅
疏林 下 寒叶|秋在 远人 村|落日 红 如此|炊烟 淡 有痕
病骨 渐苏 依 好友|禅心 无恙 得 忘机|寄书 故旧 无 劳问|犹有 僧闲 学 采薇
锦城 俎豆 重明 禋|卜地 浣花 祠庙 新|已识 忠名 颁 紫诰|剧怜 义骨 乱 青燐
不解 洛生 咏|能吟 豪士 诗|闭门 聊自 卧|乱石 迥 相宜
声断 磬边 云纳 岫|光回 殿阁 月窥 楼|五更 归梦 青 巅上|强执 金吾 初拜 侯
兰蕙 芬芳 总 负伊|并肩 携手 纳凉 时|旧厢 风月 重 相忆|十指 纤纤 擘 荔枝
靖节 桃花 源上 记|耆卿 杨柳 岸边 人|凭君 著意 勤 摹写|费我 题诗 独 苦辛
金鸭 香 犹吐|风帘 影自 飘|轻冰 生 砚沼|馀雪 缀 寒条
念我 官将 满|连宵 梦只 归|团栾 老 丘壑|肯作 食言 肥
云横 秋水 外|鸟度 夕阳 边|倦倚 阑干 北|令人 思 黯然
城残 嘶 外月|林暝 噪 馀烟|块坐 秋风 里|潘郎 鬓 飒然
缭绕 穿 红萼|斓斑 踏 紫苔|谁将 锦 步障|端为 使君 开
远浪 含 夷岛|长沙 接 塞垣|人传 新 节制|清啸 似 刘琨
竹分 宛陵 去|环赐 北关 归|出昼 只 三日|排云 趋 九扉
六月 火 云散|蝉声 鸣 树梢|秋风 岂 便借|客思 已 萧条
突兀 依城 起|陂陀 路 几盘|名山 留 禹贡|胜地 让 黄冠
鹅鸭 喧 篱落|蒹葭 蔽 水湾|舟中 不堪 卧|借榻 叩林 关
驿路 千山 隔|河流 一苇 航|毋忧 兵 不战|已定 法 三章
每爱 江城 里|青春 向 尽时|一回 新 雨歇|是处 好 风吹
有客 过 茅宇|呼儿 正 葛巾|自锄 稀 菜甲|小摘 为 情亲
王者 今无 战|将军 尚 道边|羽书 摇 白日|甲士 控 朱弦
兄弟 分离 苦|穷愁 岂有 宽|生涯 相 汨没|吾道 属 艰难
琴荐 虞廷 应有 待|圭封 唐叔 岂相 诬|人材 特立 真如 此|髙拂 青冥 见 一株
华屋 翚飞 庆事 绵|芝兰 玉树 喜 庭前|似闻 楚畹 芽 初茁|便看 蓝田 生 晚烟
衰病 仍 为客|相依 过 一春|和篇 惊 韵险|把酒 沃 愁频
楼上 新诗 二百 篇|三吴 处士 最应 贤|非夷 非惠 真 天隐|忘世 忘身 恐 地仙
空见 方坟 涌 半霄|难将 生死 问 参寥|应身 东返 知 何国|瑞像 西归 自 本朝
秋风 吹 古道|木叶 堕 征衣|明月 今宵 缺|孤云 何处 飞
多异 山中 白额 虎|龙池 池上 赤梢 鱼|相逢 为致 殷勤 意|别后 枯禅 已 废书
形如 丹凤 飞 衔印|势似 苍龙 卧 吐珠|此处 不堪 为 县治|更于 何处 拜 皇都
石匮 埋 神物|灵光 照夜 多|龙归 天上 后|无复 更 风波
终日 颓然 蠹简 中|门前 烟水 浩 无穷|百年 等是 一 枯冢|四海 应无 两 放翁
映日 添 霞色|当风 振 浪声|潺潺 云水 下|已得 涤 幽情
素月 度 银汉|红螺 斟玉 醪|染丹 梨 半颊|斫雪 蟹 双螯
即飞 玉露 消 残暑|谁泻 银河 洗 厚坤|却为 吾侪 留 重客|未教 舟楫 返 江门
治棺 准备 膏肓 日|酿酒 枝梧 雨雪 时|常笑 祖龙 痴 到底|一生 辛苦 觅 安期
救世 嗟无 具|为僧 亦自 嘉|只愁 新 旧雨|总属 暮 朝霞
门前 载酒 黄蓬 馆|歌里 飞花 白雪 楼|佩玉 只今 朝寄 重|祇应 吾道 在 沧洲
画戟 凄凉 对 落晖|园林 有愿 竟 心违|残花 带雨 依 荒砌|老柏 参天 守 故扉
岂是 人间 畜|长空 任 汝归|持来 何所 赠|孤去 独无 依
史局 收 遗稿|宫寮 出 赐金|门生 私恸 处|即是 万 人心
吾思 陶 靖节|宠辱 未尝 惊|有酒 遂 斟酌|无心 校 死生
人羡 风流 同 广受|自惭 衰朽 少 经纶|故乡 剩有 佳 山水|应觅 渔樵 为 结邻
关塞 垂杨 横槊 赋|禁津 芳草 掞毫 挥|为君 岂复 仍 关念|看到 清阴 碧实 肥
霏霏 轻霭 薄 朝晖|又见 凉飔 一叶 飞|气早 畴官 已 应闰|天移 星火 欲 流辉
海隔 红尘 不 闭门|东风 携杖 木棉 温|今时 父辈 人 无几|先代 遗民 君 独存
磊落 王宫 翰|青编 入梦 频|那知 三 楚客|遍阅 五 朝人
女直 秋输 马|将军 夜发 营|地偏 桃李 后|四月 始闻 莺
章绶 纷 为累|琴樽 且 畅神|啼莺 与 芳草|处处 动 游轮
有梦 怀 风采|何人 作 墓铭|老孤 无限 泪|空望 浙 山青
浮生 寄托 在 尘寰|若梦 欢娱 了 不关|偶向 闹中 聊 取静|或从 忙里 且 偷闲
百工 允敕 重 朝端|职典 枢机 未易 殚|出纳 望同 天北 斗|清芬 品拟 省中 兰
诗思 又牵 吟咏 发|酒酣 闲唤 管弦 来|樽前 百事 皆 依旧|点检 惟无 薛 秀才
振廪 功成 聊 共醉|追锋 诏下 合 俱还|须知 苍翠 看 无尽|输我 岩居 昼 掩关
江汉 浮 南纪|秋冬 拟 绪风|离骚 楚人 恨|过半 夕阳 中
一从 轻弃 五 边州|所恃 藩篱 仅 武休|又谓 武休 无足 恃|并捐 洋汉 守 金牛
五岳 气完 日|重明 丽正 初|寿星 聚 奎璧|吾道 此 权舆
当时 嫩笋 和 鸡煮|才摘 新茶 入 罐烹|同赏 杏林 娇 醉态|再吟 短句 效 嘤鸣
钓鱼 城 下去|带剑 市 中来|笑谓 晨炊 者|英雄 被尔 催
独宿 不成 寐|萧萧 天 北风|孤村 萤影 外|荒岁 犬声 中
采自 猊床 象 座前|紫霞 一片 映 青莲|优昙 不是 人间 种|色相 应归 忉利 天
今日 开筵 贺 始生|来年 今日 办 西行|后年 壁挂 登科 记|今日 人看 指 姓名
不杀 鸡 为具|堪题 凤 向人|山公 识 墨在|知我 旧来 贫
我行 常苦 雨 相随|旱甚 民心 若 倒垂|坐久 云容 肤寸 合|愿同 焦槁 被 甘滋
不谓 高 难及|终知 力 有穷|任人 吾自 逸|致远 汝为 工
老吟 穷 景象|多难 损 精神|渐有 还京 望|绵州 减 战尘
直北 云黄 屯圈 马|迤西 月黑 控飞 孤|据鞍 颇牧 今 能用|卧护 犹应 胜 壮夫
沙河 双绕 巩华 城|一道 飞桥 接 帝京|往日 君王 上 陵寝|红旗 翠辇 此 中行
白句 方从 万 玉妃|安排 红袖 点 春晖|一寒 自笑 无毡 客|三酌 匆匆 早 赋归
飞盖 漫游 亏 燕喜|胡床 独坐 减 风流|何如 锦席 笙歌 拥|醉看 银盘 射 玉楼
官冷 岂知 僧又 冷|殷勤 话别 上 西台|金花 便是 红绡 扇|取得 功名 动地 来
南土 分争 久|西秦 王气 多|累臣 独 洒泪|衰疾 卧 江沱
月下 花 愁客|霜前 雁 报人|为君 题赠 妇|惟有 素衣 尘
凿池 供 版筑|杯水 在堂 坳|有室 如 悬磬|为生 且 系匏
今年 不是 雨来 悭|不后 秧时 亦不 前|自古 浙西 长苦 涝|近来 无涝 恰 三年
结庐 虽 傍市|种竹 近 成林|乍到 安禅 地|终谐 大隐 心
几年 捣素 忆从 征|欲到 辽西 梦 不成|自是 枕寒 难得 寐|枝头 休错 怨 啼莺
休沐 寒宵 正 稳眠|疎迟 赢得 发黟 然|黄杨 已受 春 功薄|犹恐 明朝 值 闰年
鸾凤 戏 三岛|神仙 居 十洲|应怜 萱草 淡|却得 号 忘忧
墙头 花定 觉风 阑|墙外 池深 酒亦 寒|马健 莫愁 归路 远|诗成 未许 俗人 看
故相 方来 梦|分明 接 座隅|只知 冠剑 是|不道 死生 殊
陇右 同游 幸遇 君|布衣 也得 作 南巡|浯溪 崖畔 寻 贤士|潇水 江干 吊 戍臣
县僻 无 车马|檐低 见 斗牛|中宵 犹 看剑|杯酒 强 消愁
见说 春帆 外|康庐 水石 多|期君 一 把臂|长啸 入 烟萝
学虽 工 比兴|科亦 要 刑名|书律 三冬 足|荣华 一战 成
吴楚 千峰 树杪 开|台空 曾见 凤 飞来|三山 秀色 还 今古|六代 繁华 几 劫灰
乱花 恣意 看 千朵|水鸟 悠然 听 数声|莫道 乡间 无 雅趣|波横 几叶 小舟 轻
结庐 依 薜荔|一径 入 桑麻|庭院 无 多处|林塘 自 一家
朝看 法 云散|知有 至人 还|送客 临 伊水|行车 出 故关
山雪 骑驴 出|江风 捲钓 归|所嗟 冠盖 地|独尔 薜萝 衣
三山 南去 入 烟霞|傍马 春光 岂觉 赊|黄鸟 声中 饶 别思|鹧鸪 词后 艳 才华
但见 朝廷 方 贵老|那知 河岳 遽 收神|哀荣 终始 公无 憾|况有 清名 服 搢绅
市道 奔趋 古道 违|可人 迢递 费 相思|梦残 细雨 青灯 夜|吟就 停云 落月 诗
诸葛 祠前 频 荐豆|相如 桥下 懒 停骖|同年 此别 何 时会|且对 黄花 共醉 酣
秉烛 连床 坐 夜分|漏声 和月 度 辕门|重论 幼稚 多 堪笑|细数 交游 半 不存
三秦 来 梦寐|万里 此 周旋|辱赠 诗歌 古|蒹葭 白露 篇
座下 半成 忠义 鬼|峰头 空剩 雨花 台|人间 自是 浮云 过|檐雀 风铃 亦 助哀
有兴 诗筒 满|无钱 酒债 多|丹枫 与 湖水|相映 醉颜 酡
客馆 歇 征辔|夕阳 帘外 晴|数家 团 小市|一水 瞰 孤城
